date,PM
2023-03-13,30
2023-03-14,30
2023-03-15,49
2023-03-16,56
2023-03-17,61
2023-03-18,65
2023-03-19,61
2023-03-20,52
2023-03-21,48
2023-03-22,47
2023-03-23,43
2023-03-24,48
2023-03-25,46
2023-03-26,49
2023-03-27,61
2023-03-28,32
2023-03-29,26
2023-03-30,39
2023-03-31,48
2023-04-01,59
2023-04-02,41
2023-04-03,43
2023-04-04,58
2023-04-05,56
2023-04-06,42
2023-04-07,118
2023-04-08,51
2023-04-09,30
2023-04-10,48
2023-04-11,57
2023-04-12,62
2023-04-13,66
2023-04-14,54
2023-04-15,61
2023-04-16,38
2023-04-17,44
2023-04-18,52
2023-04-19,63
2023-04-20,65
2023-04-21,53
2023-04-22,40
2023-04-23,45
2023-04-24,21
2023-04-25,32
2023-04-26,24
2023-04-27,28
2023-04-28,30
2023-04-29,38
2023-04-30,17
2023-05-01,28
2023-05-02,32
2023-05-03,29
2023-05-04,29
2023-05-05,35
2023-05-06,37
2023-05-07,40
2023-05-08,26
2023-05-09,22
2023-05-10,19
2023-05-11,17
2023-05-12,14
2023-05-13,11
2023-05-14,15
2023-05-15,26
2023-05-16,31
2023-05-17,30
2023-05-18,35
2023-05-19,40
2023-05-20,38
2023-05-21,42
2023-05-22,35
2023-05-23,33
2023-05-24,15
2023-05-25,21
2023-05-26,26
2023-05-27,25
2023-05-28,18
2023-05-29,18
2023-05-30,16
2023-05-31,20
2023-06-01,19
2023-06-02,16
2023-06-03,24
2023-06-04,21
2023-06-05,9
2023-06-06,9
2023-06-07,12
2023-06-08,13
2023-06-09,16
2023-06-10,16
2023-06-11,16
2023-06-12,14
2023-06-13,16
2023-06-14,15
2023-06-15,12
2023-06-16,11
2023-06-17,10
2023-06-18,8
2023-06-19,13
2023-06-20,13
2023-06-21,12
2023-06-22,15
2023-06-23,13
2023-06-24,10
2023-06-25,11
2023-06-26,10
2023-06-27,10
2023-06-28,13
2023-06-29,17
2023-06-30,17
